id_hospital,nome_hospital,estado,cidade,tipo_unidade,qtd_leitos,ocupacao_perc,pacientes_em_espera,qtd_medicos,qtd_enfermeiros,qtd_atendimentos_mes,tempo_medio_espera_min,gastos_mensais_R$,repasses_sus_R$,taxa_mortalidade_%,tipo_gestao,indice_satisfacao,data
4ded1b3a,Hospital Esperança 966,AC,Rio Branco,Hospital Geral,282,87.7,43,52,25,416,93.63,487499.15,56306.33,1.63,Estadual,4.8,09/11/2024
5f84e501,Hospital Esperança 817,AC,Porto Alegre,UPA,72,27.6,56,5,71,6330,12.35,948931.41,35593.98,11.64,Estadual,2.8,03/07/2024
cb54ef50,Hospital Vida 104,AC,Rio de Janeiro,Posto de Saúde,445,25.4,77,82,146,4605,147.02,407820.84,779418.02,3.79,Estadual,4.4,26/03/2025
a97ccd61,Hospital Saúde 69,AC,Curitiba,Unidade Mista,226,79.9,146,15,21,4434,67.94,296518.11,799774.21,6.05,Estadual,4.7,20/11/2024
84445b9a,Hospital Esperança 649,AC,Vitória,Hospital Especializado,74,96.0,29,40,28,3111,79.23,964639.67,792285.18,4.34,Estadual,2.5,08/06/2024
da7055a8,Hospital Vida 644,AC,Natal,Hospital Geral,335,63.5,147,17,37,6021,22.57,471902.3,274196.15,2.99,Municipal,4.5,08/07/2024
c40141e4,Hospital Vida 923,AC,Macapá,UPA,481,62.8,81,37,132,6384,100.2,563864.48,888827.83,13.95,Municipal,1.3,11/04/2025
fdcf3a9a,Hospital Vida 34,AC,Curitiba,Posto de Saúde,166,47.1,49,60,15,6458,53.76,748475.96,217027.43,3.32,Municipal,5.0,04/04/2025
f7b6277c,Hospital Bem Estar 718,AC,Maceió,Unidade Mista,435,34.7,108,64,58,2883,41.62,965234.88,103161.19,14.9,Municipal,1.0,26/05/2024
3d966263,Hospital Vida 704,AC,Belo Horizonte,Hospital Especializado,268,85.7,65,32,20,7718,143.75,208795.01,482490.03,8.34,Municipal,4.1,01/08/2024
fa76ab22,Hospital Esperança 387,AC,Porto Alegre,Hospital Geral,391,61.3,138,78,145,2905,49.2,97184.0,847280.02,2.71,Federal,2.3,01/03/2025
01643ce5,Hospital Vida 352,AC,Goiânia,UPA,456,32.1,119,58,134,3141,83.83,656682.53,113124.02,9.54,Federal,3.4,31/10/2024
6e3d6cce,Hospital Esperança 414,AC,Manaus,Posto de Saúde,402,95.7,95,44,84,7497,123.96,598031.88,804029.39,4.77,Federal,3.6,19/01/2025
79dd0043,Hospital Saúde 33,AC,Belo Horizonte,Unidade Mista,260,74.9,90,39,124,3540,150.82,412312.3,92276.62,13.63,Federal,4.9,13/10/2024
16816079,Hospital Bem Estar 526,AC,Boa Vista,Hospital Especializado,70,65.6,98,79,69,9047,141.98,182107.04,738783.72,12.3,Federal,2.6,29/08/2024
27b9b9e2,Hospital Esperança 94,AC,Palmas,Hospital Geral,98,62.1,6,21,81,7536,17.29,752542.27,884640.61,5.74,Estadual,1.7,20/11/2024
98de7b16,Hospital Bem Estar 637,AC,Vitória,UPA,87,58.5,134,94,137,9457,172.27,137390.65,541951.6,4.52,Estadual,4.2,30/07/2024
fe2f7c7b,Hospital Saúde 115,AC,Cuiabá,Posto de Saúde,249,38.5,10,74,9,609,31.34,92059.62,796883.15,7.0,Estadual,4.5,27/11/2024
6e626e4d,Hospital Vida 855,AC,Brasília,Unidade Mista,408,52.5,102,56,104,342,149.7,600867.98,346834.46,13.49,Estadual,3.1,27/12/2024
c64f716d,Hospital Saúde 246,AC,Teresina,Hospital Especializado,292,35.8,53,23,146,3131,49.36,351761.97,36571.43,14.78,Estadual,4.0,18/04/2024
634e6075,Hospital Bem Estar 125,AC,Maceió,Hospital Geral,247,98.5,45,13,34,4799,91.12,545634.09,686566.87,1.28,Municipal,3.9,24/02/2025
fc3f25d0,Hospital Saúde 25,AC,Manaus,UPA,54,66.7,132,19,66,980,13.41,414298.56,585527.48,14.18,Municipal,2.7,29/08/2024
491697be,Hospital Saúde 351,AC,Palmas,Posto de Saúde,98,31.0,29,81,62,8555,103.37,327536.91,410820.52,3.2,Municipal,3.8,09/06/2024
86b486df,Hospital Saúde 188,AC,Natal,Unidade Mista,369,87.8,8,46,60,1279,61.28,595253.33,668848.62,1.7,Municipal,2.9,10/06/2024
016c5bfa,Hospital Bem Estar 372,AC,Cuiabá,Hospital Especializado,253,67.6,89,37,64,513,156.03,949098.69,823979.2,12.73,Municipal,3.8,09/02/2025
